Airport Code,Year,Domestic Passengers,International Passengers,Total Passengers
EWR,1992,20968387,3315861,24284248
JFK,1991,11149896,14552542,25702438
LGA,1995,19309339,1289871,20599210
JFK,2009,24021233,21856709,45877942
EWR,2002,21847605,7372941,29220546
EWR,1983,17039826,363048,17402874
JFK,2007,26173691,21544125,47717816
EWR,2014,23762627,11848060,35610687
EWR,1990,19688367,2566635,22255002
LGA,2012,24274029,1433755,25707784
LGA,1979,18347855,0,18347855
EWR,2005,23713468,9365563,33079031
LGA,1980,17420734,0,17420734
EWR,2015,25692513,11802191,37494704
EWR,1982,11841518,246271,12087789
JFK,1994,12929148,15952036,28881184
EWR,2004,23035223,8857926,31893149
LGA,1999,22592060,1334863,23926923
LGA,1978,17041111,224,17041335
EWR,2010,21716886,11477304,33194190
JFK,2003,16436858,15299633,31736491
EWR,1987,22638167,820574,23458741
JFK,1989,12545312,16691574,29236886
EWR,1985,27753093,821971,28575064
JFK,2001,13322788,15988258,29311046
JFK,1988,13605243,16749367,30354610
LGA,1998,21570795,1241140,22811935
JFK,2000,14159706,18667814,32827520
JFK,2014,25021432,28196318,53217750
JFK,1990,12279837,16750606,29030443
LGA,1986,21871533,194970,22066503
JFK,2005,22091554,18800357,40891911
LGA,1981,18096506,0,18096506
EWR,2007,25614110,10753100,36367210
JFK,2002,14601854,15336334,29938188
JFK,1983,14384833,13155195,27540028
LGA,1997,20305251,1302197,21607448
LGA,2008,21941392,1131664,23073056
EWR,2009,22542675,10817448,33360123
JFK,1992,12657439,15066707,27724146
EWR,1991,19488049,2786007,22274056
LGA,2011,23086756,1035722,24122478
EWR,2001,23482737,7454112,30936849
JFK,1985,13620471,14824720,28445191
LGA,1996,19337106,1362030,20699136
EWR,1988,21313794,1157736,22471530
EWR,2000,25787897,8210116,33998013
LGA,1984,20165925,2095,20168020
LGA,2006,24496982,1313621,25810603
LGA,1977,15033019,0,15033019
EWR,2003,21781730,7667840,29449570
JFK,1987,13893026,15837819,29730845
EWR,1989,19234503,1685408,20919911
LGA,2013,24953572,1727528,26681100
LGA,1993,18613460,1191106,19804566
EWR,1994,24368533,3649413,28017946
JFK,2015,26806853,30020301,56827154
JFK,1982,14142187,12199780,26341967
JFK,2004,20087733,17486758,37574491
JFK,2010,23404277,23116609,46520886
EWR,1998,25853918,6614047,32467965
JFK,1984,14626850,14587395,29214245
LGA,1985,20279008,135756,20414764
JFK,1996,13702255,17453099,31155354
JFK,2006,23003499,19625383,42628882
JFK,1977,11106324,9974364,21080688
JFK,2013,23909175,26541183,50450358
JFK,1993,11781813,15080232,26862045
LGA,1987,24050206,175707,24225913
EWR,1999,25911460,7534036,33445496
EWR,1978,8197914,270568,8468482
LGA,2004,23191610,1261593,24453203
LGA,2010,22950115,1032967,23983082
LGA,2015,26684923,1752745,28437668
LGA,1982,18424894,0,18424894
JFK,1986,12871375,13893383,26764758
EWR,1980,9020714,202416,9223130
JFK,1981,13717963,12024430,25742393
LGA,2005,24418231,1471129,25889360
EWR,2012,22836683,11147344,33984027
LGA,2014,25157202,1814893,26972095
LGA,1990,21399801,1364803,22764604
EWR,1979,8941134,355608,9296742
LGA,2002,20869575,1117104,21986679
LGA,1983,18677387,0,18677387
JFK,2008,25204068,22599048,47803116
EWR,1995,22778700,3845107,26623807
JFK,1997,13911627,17445592,31357219
JFK,2011,23758513,23886084,47644597
LGA,1992,18555952,1189895,19745847
JFK,1999,13503345,18204584,31707929
JFK,1978,12541038,11048655,23589693
LGA,1994,19508259,1199971,20708230
EWR,2013,23716837,11299399,35016236
LGA,1989,21675874,1482443,23158317
EWR,1993,22370092,3439321,25809413
LGA,2003,21435246,1047524,22482770
EWR,2006,25605301,10029247,35634548
EWR,1977,7078301,223350,7301651
JFK,1998,13214567,17844326,31058893
LGA,1988,22783658,1375122,24158780
EWR,1984,22955551,691750,23647301
LGA,2000,24013839,1346195,25360034
LGA,2001,21375263,1144611,22519874
EWR,1996,24519700,4587759,29107459
LGA,1991,18495858,1190398,19686256
EWR,2011,22189669,11507823,33697492
EWR,2008,24222192,11138544,35360736
LGA,2009,21143013,1010223,22153236
EWR,1997,25326987,5618758,30945745
JFK,1995,13317341,17062932,30380273
LGA,2007,23799365,1226902,25026267
EWR,1986,28601786,819019,29420805
EWR,1981,9999424,182044,10181468
JFK,1980,14007265,11985593,25992858
JFK,2012,24217083,25057093,49274176
JFK,1979,14114550,12057183,26171733
